Vardas              Pavarde             ND1    ND2    ND3    ND4    Egz    
zydrunas            Urbonas             7      4      4      6      6      
Lavrentijus         Petrauskas          6      5      4      10     6      
Apolinaras          Baranauskas         5      8      5      1      10     
Dovilis             Jankauskas          7      8      8      3      7      
Igoris              Butkus              8      9      5      8      6      
Jovaras             Pocius              3      10     7      8      5      
Melanijus           Baranauskas         7      6      8      6      9      
Stasys              Stankevicius        7      9      2      6      7      
Normanas            Kavaliauskas        6      6      1      3      7      
Anatolijus          Pocius              10     1      5      3      8      
Valerijonas         Butkus              7      8      10     3      9      
Naumas              zukauskas           7      9      7      9      5      
Bronius             Urbonas             4      5      4      9      10     
Aidas               Kavaliauskas        4      3      3      1      7      
Rufas               Paulauskas          2      9      3      7      4      
Vykintas            Sakalauskas         8      5      7      8      6      
Skaistis            Stankevicius        2      9      8      3      4      
Vygirdas            Vasiliauskas        2      9      5      1      2      
Vytenis             Kavaliauskas        10     9      9      9      6      
Livijus             Paulauskas          4      9      8      7      9      
