Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egz    
Liudvikas           Baranauskas         8      10     10     1      10     2      
Gediminas           Paulauskas          8      9      5      9      4      5      
Silverijus          zukauskas           6      3      2      10     4      7      
Gavrilas            Kateiva             6      5      6      10     6      9      
Dobilas             Petrauskas          4      7      10     4      2      9      
Medas               Butkus              7      10     9      7      6      2      
Valdemaras          Paulauskas          5      5      1      1      2      4      
Mecys               Baranauskas         6      6      4      10     5      10     
Natanas             Pocius              4      4      2      9      3      10     
Ignotas             Stankevicius        2      1      3      7      2      6      
Nojus               Stankevicius        5      5      9      2      9      5      
Normantas           Kazlaukas           8      7      6      1      1      3      
Viktorinas          Paulauskas          3      8      10     10     10     10     
Vladas              Baranauskas         8      5      2      5      3      8      
Stepanas            Kazlaukas           4      2      9      7      4      8      
Leonidas            Sakalauskas         9      3      1      4      7      9      
Vykintas            Pocius              10     5      2      10     6      5      
Steponas            Pocius              8      10     8      8      7      10     
Tadeusas            Kateiva             5      10     3      2      1      1      
Libertas            Paulauskas          3      9      8      9      1      10     
Arsenijus           Kavaliauskas        6      9      8      9      7      7      
Algis               Urbonas             6      5      9      5      10     8      
Tiberijus           Vasiliauskas        1      3      10     4      6      9      
Vidimantas          Petrauskas          4      4      4      4      8      3      
Vainius             Paulauskas          5      6      4      4      8      4      
Petras              Vasiliauskas        8      3      4      4      4      3      
Vydimantas          Jankauskas          2      8      1      4      4      7      
Inocentas           Paulauskas          2      8      8      5      4      9      
Viaceslavas         Baranauskas         4      4      9      7      4      10     
Marcelinas          Baranauskas         9      6      9      2      2      6      
Bartvydas           Jankauskas          3      2      8      8      5      3      
Vejunas             zukauskas           9      6      4      9      1      3      
Vaitiekus           Stankevicius        8      2      5      1      6      7      
Marius              Butkus              8      2      8      6      4      6      
Michailas           Kateiva             10     5      5      1      1      6      
Kasparas            Baranauskas         1      8      7      8      3      4      
Zakarijus           Baranauskas         3      2      7      7      6      9      
Vaidotas            Jankauskas          5      6      10     1      8      9      
Liubartas           Vasiliauskas        8      9      10     3      2      2      
Gendrius            Stankevicius        8      8      10     8      1      1      
Hektoras            Vasiliauskas        6      7      1      3      9      10     
Cezaris             Stankevicius        4      2      10     6      3      4      
Armantas            Stankevicius        4      4      7      7      9      7      
Dmitrijus           Pocius              3      8      4      7      9      5      
Mantas              Petrauskas          7      10     4      2      2      2      
Adamas              zukauskas           4      1      1      3      2      6      
Andrius             Jankauskas          5      3      7      8      8      6      
Paulis              zukauskas           6      6      2      1      2      1      
Gaudrimas           Vasiliauskas        1      5      8      1      9      8      
Kleopas             Baranauskas         5      8      2      1      6      7      
Geraldas            Jankauskas          10     6      4      6      10     4      
Vincas              Kazlaukas           3      9      1      5      2      4      
Rodrigas            Petrauskas          5      3      3      6      4      3      
Vladlenas           Kazlaukas           3      7      3      5      8      6      
Boleslovas          Kavaliauskas        1      5      5      2      3      4      
Zdislavas           Kateiva             1      10     5      10     9      10     
Vygaudas            Baranauskas         5      5      2      10     2      7      
Tadas               Baranauskas         5      7      7      10     1      8      
Mintaras            Urbonas             5      7      2      7      1      7      
Leonas              Butkus              6      10     5      4      1      5      
Fabijus             Kazlaukas           6      5      8      3      3      1      
Vaigaudas           Kazlaukas           5      1      4      2      4      4      
Deimantas           Butkus              2      10     5      2      2      5      
Serapinas           zukauskas           5      8      5      2      5      6      
Arunas              Pocius              9      9      9      5      5      5      
zygintas            Urbonas             7      5      7      8      6      9      
Remas               Urbonas             6      1      6      4      6      1      
Demetrijus          zukauskas           1      9      10     9      8      4      
Kornelijus          Kazlaukas           6      3      2      9      1      9      
zibartas            Kazlaukas           1      1      4      5      10     6      
Vainius             Kavaliauskas        5      4      6      3      5      4      
Kostas              Vasiliauskas        9      8      2      4      8      1      
Dziugas             Kavaliauskas        8      5      4      1      4      6      
Margiris            Stankevicius        1      6      4      10     1      4      
Isaakas             Petrauskas          8      8      1      3      2      1      
Nauris              Jankauskas          10     7      1      10     1      5      
Aleksas             Sakalauskas         3      2      10     6      7      4      
Laimis              Kavaliauskas        8      6      10     6      6      3      
zygimantas          Kavaliauskas        10     4      4      2      8      4      
Serafinas           Kavaliauskas        6      3      7      2      8      6      
Silvijus            Stankevicius        6      8      5      9      2      4      
Vainius             Kazlaukas           2      6      4      3      10     5      
Juras               Kazlaukas           7      7      5      9      2      10     
Valerijonas         Sakalauskas         9      3      1      3      3      7      
Apolinaras          Pocius              6      3      2      1      3      8      
Kaributas           Paulauskas          9      9      9      3      2      4      
Vilgaudas           Kazlaukas           1      9      9      7      2      1      
Viktorijus          Pocius              3      6      9      8      6      10     
Alenas              Paulauskas          6      1      10     7      5      6      
Geivydas            Sakalauskas         6      5      10     7      10     1      
Nerimantas          Jankauskas          2      8      3      4      10     2      
Nedas               Jankauskas          7      10     9      8      10     5      
Antonas             Stankevicius        2      4      4      4      10     9      
Nikola              Stankevicius        6      4      2      3      2      7      
Gotfridas           Petrauskas          5      2      5      4      1      6      
Vygirdas            zukauskas           1      10     1      2      10     1      
Bijunas             Urbonas             10     8      4      1      1      5      
Polikarpas          Petrauskas          1      10     9      4      7      7      
Regimantas          Paulauskas          7      6      2      2      1      8      
Osvaldas            Pocius              5      10     1      9      9      6      
