Vardas              Pavarde             Vid.                Med.                
Aidas               Kavaliauskas        5.3                 5.4                 
Anatolijus          Pocius              6.7                 6.4                 
Apolinaras          Baranauskas         7.9                 8                   
Bronius             Urbonas             8.2                 7.8                 
Dovilis             Jankauskas          6.8                 7.2                 
Igoris              Butkus              6.6                 6.8                 
Jovaras             Pocius              5.8                 6                   
Lavrentijus         Petrauskas          6.1                 5.8                 
Livijus             Paulauskas          8.2                 8.4                 
Melanijus           Baranauskas         8.1                 8                   
Naumas              zukauskas           6.2                 6.2                 
Normanas            Kavaliauskas        5.8                 6                   
Stasys              Stankevicius        6.6                 6.8                 
Valerijonas         Butkus              8.2                 8.4                 
Vykintas            Sakalauskas         6.4                 6.6                 
Vytenis             Kavaliauskas        7.3                 7.2                 
zydrunas            Urbonas             5.7                 5.6                 
